company,snapdate,snaptime,openprice,highprice,lowprice,closeprice,volume
IEG03,2022-08-10,05:30:00,133.4,133.4,133.4,133.4,948
IEG03,2022-08-10,06:15:00,133.41,133.41,133.41,133.41,273
IEG03,2022-08-10,08:00:00,133.68,133.68,133.68,133.68,200
IEG03,2022-08-10,08:15:00,133.76,133.76,133.56,133.71,1745
IEG03,2022-08-10,08:45:00,133.65,133.71,133.51,133.51,5398
IEG03,2022-08-10,09:00:00,133.69,133.69,133.69,133.69,1101
IEG03,2022-08-10,09:30:00,133.69,133.9,133.69,133.9,802
IEG03,2022-08-10,09:45:00,133.65,133.7399,133.26,133.47,109909
IEG03,2022-08-10,10:00:00,133.46,133.925,133.45,133.89,56802
IEG03,2022-08-10,10:15:00,133.92,134.11,133.87,133.97,68303
IEG03,2022-08-10,10:30:00,133.97,134.12,133.82,133.93,117249
IEG03,2022-08-10,10:45:00,133.96,134.32,133.92,134.31,80613
IEG03,2022-08-10,11:00:00,134.33,134.41,134.3,134.39,46976
IEG03,2022-08-10,11:15:00,134.4,134.425,134.14,134.14,57123
IEG03,2022-08-10,11:30:00,134.071,134.11,133.8,133.87,62415
IEG03,2022-08-10,11:45:00,133.86,133.96,133.78,133.83,61630
IEG03,2022-08-10,12:00:00,133.84,133.92,133.75,133.9,95281
IEG03,2022-08-10,12:15:00,133.91,133.92,133.56,133.58,51634
IEG03,2022-08-10,12:30:00,133.6,133.6182,133.47,133.5833,59637
IEG03,2022-08-10,12:45:00,133.5899,133.5899,133.286,133.34,68806
IEG03,2022-08-10,13:00:00,133.35,133.35,133.09,133.33,58620
IEG03,2022-08-10,13:15:00,133.33,133.45,133.24,133.28,53153
IEG03,2022-08-10,13:30:00,133.28,133.39,133.22,133.365,42897
IEG03,2022-08-10,13:45:00,133.35,133.46,133.26,133.415,68658
IEG03,2022-08-10,14:00:00,133.42,133.53,133.39,133.525,
IEG03,2022-08-10,14:15:00,133.53,133.53,133.28,133.35,75423
IEG03,2022-08-10,14:30:00,133.36,133.44,133.25,133.39,70880
IEG03,2022-08-10,14:45:00,133.395,133.395,133.07,133.13,71261
IEG03,2022-08-10,15:00:00,133.14,133.26,133.07,133.24,58176
IEG03,2022-08-10,15:15:00,133.23,133.296,133.15,133.1869,71680
IEG03,2022-08-10,15:30:00,133.2,133.43,133.18,133.42,104050
IEG03,2022-08-10,15:45:00,133.41,133.78,133.2831,133.69,139839
IEG03,2022-08-10,16:00:00,133.7,134.0,133.69,133.98,343831
IEG03,2022-08-10,16:15:00,133.98,133.98,133.98,133.98,62107
IEG03,2022-08-10,17:00:00,133.98,134.18,133.98,134.18,2301
IEG03,2022-08-10,17:15:00,134.1,134.1,134.1,134.1,200
IEG03,2022-08-10,17:30:00,133.82,133.82,133.82,133.82,500
IEG03,2022-08-10,19:15:00,133.97,133.97,133.97,133.97,1000
IEG03,2022-08-11,08:30:00,133.51,133.51,133.51,133.51,240
IEG03,2022-08-11,09:15:00,134.1,134.64,134.1,134.64,852
IEG03,2022-08-11,09:30:00,134.0,134.0,134.0,134.0,500
IEG03,2022-08-11,09:45:00,134.1,134.18,133.04,133.28,202111
IEG03,2022-08-11,10:00:00,133.28,133.43,133.14,133.235,91121
IEG03,2022-08-11,10:15:00,133.23,133.2929,132.5,132.78,139995
IEG03,2022-08-11,10:30:00,132.81,132.92,132.02,132.04,132577
IEG03,2022-08-11,10:45:00,132.035,132.035,131.48,131.56,187361
IEG03,2022-08-11,11:00:00,131.52,131.55,131.2336,131.26,135652
IEG03,2022-08-11,11:15:00,131.25,131.42,130.94,131.37,131721
IEG03,2022-08-11,11:30:00,131.38,131.39,131.05,131.1427,87617
IEG03,2022-08-11,11:45:00,131.175,131.34,131.01,131.04,81355
