company,snapdate,snaptime,openprice,highprice,lowprice,closeprice,volume
IEG02,2022-08-10,08:15:00,136.56,136.56,136.56,136.56,1105
IEG02,2022-08-10,08:45:00,136.42,136.5,136.4,136.4,554
IEG02,2022-08-10,09:15:00,136.4,136.4,136.01,136.01,853
IEG02,2022-08-10,09:45:00,136.46,137.96,136.3,137.62,337135
IEG02,2022-08-10,10:00:00,137.6,137.9,137.435,137.5222,159276
IEG02,2022-08-10,10:15:00,137.53,137.66,136.82,136.9,114474
IEG02,2022-08-10,10:30:00,136.87,137.05,136.76,136.895,91827
IEG02,2022-08-10,10:45:00,136.9,137.07,136.8,137.045,80653
IEG02,2022-08-10,11:00:00,137.04,137.17,136.89,136.92,128501
IEG02,2022-08-10,11:15:00,136.92,137.01,136.62,136.74,96501
IEG02,2022-08-10,11:30:00,136.73,136.99,136.72,136.98,63934
IEG02,2022-08-10,11:45:00,136.97,136.9945,136.73,136.77,61050
IEG02,2022-08-10,12:00:00,136.76,136.96,136.61,136.89,89078
IEG02,2022-08-10,12:15:00,136.9,137.05,136.84,137.0102,65516
IEG02,2022-08-10,12:30:00,137.02,137.31,137.0076,137.31,67291
IEG02,2022-08-10,12:45:00,137.3131,137.4937,137.2601,137.48,48761
IEG02,2022-08-10,13:00:00,137.48,137.65,137.42,137.635,145757
IEG02,2022-08-10,13:15:00,137.63,137.71,137.56,137.665,112652
IEG02,2022-08-10,13:30:00,137.67,137.675,137.45,137.45,86031
IEG02,2022-08-10,13:45:00,137.46,137.505,137.34,137.375,94352
IEG02,2022-08-10,14:00:00,137.37,137.45,137.3476,137.43,64978
IEG02,2022-08-10,14:15:00,137.43,137.89,137.37,137.89,
IEG02,2022-08-10,14:30:00,137.89,137.95,137.73,137.935,67034
IEG02,2022-08-10,14:45:00,137.94,138.415,137.93,138.14,221336
IEG02,2022-08-10,15:00:00,138.12,138.125,137.84,137.87,99100
IEG02,2022-08-10,15:15:00,137.875,138.14,137.68,137.8,107732
IEG02,2022-08-10,15:30:00,137.82,137.8974,137.69,137.76,95083
IEG02,2022-08-10,15:45:00,137.735,137.7951,137.62,137.79,162111
IEG02,2022-08-10,16:00:00,137.76,137.86,137.61,137.78,364182
IEG02,2022-08-10,16:15:00,137.79,137.79,137.79,137.79,98427
IEG02,2022-08-10,16:30:00,137.79,137.9826,137.65,137.65,1695
IEG02,2022-08-10,16:45:00,137.79,137.79,137.79,137.79,2351
IEG02,2022-08-10,17:00:00,137.65,137.65,137.65,137.65,300
IEG02,2022-08-10,17:15:00,137.75,137.75,137.675,137.675,400
IEG02,2022-08-10,17:45:00,137.99,137.99,137.99,137.99,100
IEG02,2022-08-10,18:00:00,137.67,137.68,137.67,137.67,876
IEG02,2022-08-10,18:15:00,137.65,137.65,137.65,137.65,
IEG02,2022-08-10,18:45:00,137.61,137.61,137.61,137.61,100
IEG02,2022-08-10,19:15:00,137.65,137.65,136.55,136.55,800
IEG02,2022-08-11,08:15:00,137.37,137.4101,137.37,137.4101,1132
IEG02,2022-08-11,08:30:00,137.5,137.89,137.44,137.88,1605
IEG02,2022-08-11,08:45:00,137.49,137.49,137.45,137.45,950
IEG02,2022-08-11,09:00:00,136.86,136.86,136.86,136.86,225
IEG02,2022-08-11,09:15:00,137.2,137.21,137.0,137.21,810
IEG02,2022-08-11,09:30:00,137.88,137.99,137.88,137.99,728
IEG02,2022-08-11,09:45:00,137.79,138.72,137.78,137.81,219746
IEG02,2022-08-11,10:00:00,137.77,138.2993,137.75,138.25,78872
IEG02,2022-08-11,10:15:00,138.25,138.61,138.0,138.4054,222283
IEG02,2022-08-11,10:30:00,138.36,138.64,138.1803,138.52,86380
IEG02,2022-08-11,10:45:00,138.51,138.57,138.34,138.415,98339
IEG02,2022-08-11,11:00:00,138.43,138.7,138.32,138.47,93073
IEG02,2022-08-11,11:15:00,138.455,138.68,138.455,138.67,83529
IEG02,2022-08-11,11:30:00,138.66,138.95,138.65,138.94,108595
IEG02,2022-08-11,11:45:00,138.96,139.0801,138.89,138.9814,111038
IEG02,2022-08-11,12:00:00,138.97,139.12,138.85,138.91,88841
IEG02,2022-08-11,12:15:00,138.9,139.08,138.61,138.95,67540
IEG02,2022-08-11,12:30:00,138.9401,138.96,138.5,138.574,97161
IEG02,2022-08-11,12:45:00,138.56,138.5926,138.29,138.29,55900
IEG02,2022-08-11,13:00:00,138.2935,138.36,138.16,138.195,58048
IEG02,2022-08-11,13:15:00,138.2,138.4836,138.19,138.39,56727
IEG02,2022-08-11,13:30:00,138.3934,138.465,138.39,138.4,52387
IEG02,2022-08-11,13:45:00,138.41,138.52,138.3401,138.44,63794
IEG02,2022-08-11,14:00:00,138.43,138.58,138.38,138.48,50878
